,x,y,z,clock
0,0.5937238148745658,-2.919362110852253e-05,-6.334975712132822,8.0
1,0.597535783037476,-2.8340064134160252e-05,-6.345824036723125,8.0
2,0.6013446791320853,-2.7496178995802266e-05,-6.356676146096865,8.0
3,0.6051505341563229,-2.6661942873146334e-05,-6.367531982271428,9.0
4,0.6089533788257211,-2.5837329379491337e-05,-6.378391487744069,9.0
5,0.6127532435751037,-2.5022308662011324e-05,-6.3892546054886115,9.0
6,0.6165501585603135,-2.4216847537528135e-05,-6.400121278952191,9.0
7,0.6203441536599609,-2.342090968831132e-05,-6.410991452051989,9.0
8,0.624135258477183,-2.2634455901788984e-05,-6.421865069172005,9.0
9,0.6279235023414135,-2.18574443145336e-05,-6.432742075159833,9.0
10,0.6317089143101655,-2.1089830622711062e-05,-6.44362241532346,9.0
11,0.6354915231708402,-2.0331568241978535e-05,-6.454506035428092,9.0
12,0.6392713574425615,-1.9582608424991917e-05,-6.4653928816929875,9.0
13,0.643048445378036,-1.884290036056561e-05,-6.4762829007883065,9.0
14,0.646822814965433,-1.811239127906224e-05,-6.487176039831976,9.0
15,0.6505944939302764,-1.739102657679491e-05,-6.49807224638658,9.0
16,0.6543635097373413,-1.6678749956687672e-05,-6.508971468456274,9.0
17,0.6581298895925547,-1.597550357180026e-05,-6.5198736544837015,9.0
18,0.6618936604449019,-1.5281228156890453e-05,-6.530778753346936,9.0
19,0.6656548489883402,-1.4595863139662473e-05,-6.541686714356444,9.0
20,0.6694134816637232,-1.3919346732820315e-05,-6.552597487252065,9.0
21,0.6731695846607327,-1.3251616015063762e-05,-6.5635110222000055,9.0
22,0.676923183919818,-1.2592607010544088e-05,-6.574427269789862,9.0
23,0.6806743051341378,-1.1942254772751946e-05,-6.58534618103165,10.0
24,0.6844229737515033,-1.1300493473084978e-05,-6.596267707352871,10.0
25,0.6881692149763181,-1.0667256489797125e-05,-6.607191800595579,10.0
26,0.6919130537715191,-1.0042476491716712e-05,-6.6181184130134705,10.0
27,0.6956545148605173,-9.426085513002874e-06,-6.629047497268997,10.0
28,0.6993936227291374,-8.818015018654778e-06,-6.639979006430496,10.0
29,0.7031304016275578,-8.218195963410507e-06,-6.650912893969333,10.0
30,0.706864875572248,-7.626558847713363e-06,-6.661849113757069,10.0
31,0.7105970683479053,-7.04303377345974e-06,-6.67278762006265,10.0
32,0.7143270035093852,-6.4675505001885395e-06,-6.683728367549608,10.0
33,0.7180547043836277,-5.90003850050268e-06,-6.694671311273276,10.0
34,0.7217801940715777,-5.340427012725921e-06,-6.70561640667803,10.0
35,0.7255034954500972,-4.788645089264043e-06,-6.716563609594535,10.0
36,0.7292246311738767,-4.244621640346206e-06,-6.727512876237022,10.0
37,0.7329436236773383,-3.708285473993921e-06,-6.738464163200596,10.0
38,0.7366604951765314,-3.179565333621934e-06,-6.749417427458522,10.0
39,0.740375267671021,-2.658389934458951e-06,-6.760372626359562,10.0
40,0.7440879629457702,-2.144687999261547e-06,-6.771329717625316,10.0
41,0.7477986025730126,-1.638388293043273e-06,-6.782288659347587,10.0
42,0.7515072079141163,-1.139419656141962e-06,-6.793249409985758,10.0
43,0.7552138001214389,-6.477110350206124e-07,-6.804211928364186,11.0
44,0.7589184001401741,-1.6319151060266738e-07,-6.81517617366962,11.0
45,0.7626210287101877,3.1420967560057843e-07,-6.826142105448631,11.0
46,0.7663217063678457,7.845630970465603e-07,-6.837109683605063,11.0
47,0.770020453447832,1.2479391188965918e-06,-6.848078868397494,11.0
48,0.7737172900849549,1.7044078756625505e-06,-6.8590496204367195,11.0
49,0.7774122362159444,2.1540392497868623e-06,-6.870021900683255,11.0
50,0.7811053115812372,2.596902851361413e-06,-6.880995670444842,11.0
51,0.7847965357267536,3.033067999201747e-06,-6.891970891373994,11.0
52,0.7884859280056612,3.4626037033637787e-06,-6.902947525465536,11.0
53,0.792173507580129,3.885578649014166e-06,-6.913925535054169,11.0
54,0.7958592934230692,4.30206118144842e-06,-6.924904882812049,11.0
55,0.7995433043198672,4.712119292033926e-06,-6.935885531746396,11.0
56,0.8032255588701038,5.1158206049303945e-06,-6.946867445197106,11.0
57,0.8069060754892611,5.513232364548794e-06,-6.9578505868343745,11.0
58,0.8105848724104189,5.90442142379404e-06,-6.968834920656343,11.0
59,0.8142619676859393,6.28945423315508e-06,-6.979820410986767,11.0
60,0.8179373791891397,6.668396830666512e-06,-6.990807022472683,11.0
61,0.8216111246159519,7.0413148327059565e-06,-7.001794720082103,11.0
62,0.8252832214865728,7.408273425540324e-06,-7.012783469101732,11.0
63,0.8289536871470995,7.769337357522097e-06,-7.0237732351346915,12.0
64,0.832622538771154,8.124570931857367e-06,-7.034763984098248,12.0
65,0.8362897933614953,8.474037999911254e-06,-7.0457556822215714,12.0
66,0.8399554677516202,8.81780195504788e-06,-7.056748296043509,12.0
67,0.843619578607351,9.15592572701808e-06,-7.067741792410362,12.0
68,0.8472821424284113,9.488471776897836e-06,-7.078736138473693,12.0
69,0.8509431755499888,9.815502092556964e-06,-7.089731301688138,12.0
70,0.8546026941442868,1.0137078184620206e-05,-7.100727249809232,12.0
71,0.8582607142220627,1.0453261082870771e-05,-7.111723950891252,12.0
72,0.8619172516341557,1.0764111333058392e-05,-7.122721373285079,12.0
73,0.8655723220730013,1.1069688994085035e-05,-7.133719485636064,12.0
74,0.8692259410741328,1.1370053635556335e-05,-7.144718256881921,12.0
75,0.8728781240176708,1.166526433569198e-05,-7.155717656250625,12.0
76,0.8765288861298026,1.1955379679588621e-05,-7.166717653258325,12.0
77,0.880178242484246,1.2240457757822514e-05,-7.1777182177072785,12.0
78,0.8838262080037046,1.2520556165369368e-05,-7.188719319683788,12.0
79,0.8874727974613085,1.2795732000817108e-05,-7.1997209295561575,12.0
80,0.8911180254820426,1.3066041865848377e-05,-7.2107230179726685,12.0
81,0.8947619065441647,1.3331541864974608e-05,-7.221725555859556,12.0
82,0.8984044549806111,1.35922876055102e-05,-7.232728514419013,12.0
83,0.9020456849803897,1.3848334197776698e-05,-7.243731865127197,13.0
84,0.9056856105899611,1.4099736255529659e-05,-7.254735579732253,13.0
85,0.909324245714609,1.434654789659775e-05,-7.265739630252355,13.0
86,0.9129616041197975,1.45888227437222e-05,-7.276743988973754,13.0
87,0.9165976994325161,1.4826613925583156e-05,-7.287748628448832,13.0
88,0.9202325451426149,1.5059974077999671e-05,-7.29875352149419,13.0
89,0.9238661546041281,1.5288955345291723e-05,-7.309758641188738,13.0
90,0.9274985410365846,1.5513609381793506e-05,-7.320763960871798,13.0
91,0.9311297175263068,1.5733987353510837e-05,-7.3317694541412095,13.0
92,0.9347596970276995,1.595013993991911e-05,-7.342775094851466,13.0
93,0.9383884923645242,1.6162117335891954e-05,-7.353780857111848,13.0
94,0.9420161162311673,1.6369969253753784e-05,-7.364786715284576,13.0
95,0.9456425811938939,1.6573744925447924e-05,-7.375792643982974,13.0
96,0.9492678996920892,1.6773493104811754e-05,-7.386798618069648,13.0
97,0.9528920840394908,1.6969262069950105e-05,-7.3978046126546735,13.0
98,0.9565151464254091,1.716109962570155e-05,-7.4088106030938015,13.0
99,0.9601370989159373,1.7349053106192423e-05,-7.419816564986665,13.0
100,0.9637579534551509,1.7533169377471517e-05,-7.430822474175007,13.0
101,0.9673777218662941,1.7713494840221833e-05,-7.4418283067409075,13.0
102,0.9709964158529578,1.7890075432544427e-05,-7.452834039005047,13.0
103,0.9746140470002452,1.8062956632808136e-05,-7.4638396475249635,14.0
104,0.9782306267759285,1.8232183462559016e-05,-7.474845109093312,14.0
105,0.9818461665315924,1.8397800489486163e-05,-7.485850400736158,14.0
106,0.9854606775037695,1.8559851830438973e-05,-7.496855499711266,14.0
107,0.989074170815067,1.871838115449062e-05,-7.507860383506413,14.0
108,0.9926866574752778,1.887343168604483e-05,-7.518865029837693,14.0
109,0.9962981483824852,1.902504620798392e-05,-7.529869416647858,14.0
110,0.999908654324156,1.9173267064852466e-05,-7.54087352210465,14.0
111,1.003518185978223,1.9318136166073822e-05,-7.551877324599151,14.0
